conf,loss
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 1.2703042811916667e-07, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 0.06599108670374765}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.16527640343757447, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",3.0684077739715576
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 1.4635407280351315e-07, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 0.0005931436879963246}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.3524962600336041, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",3.067318916320801
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 2.360647362677531e-06, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 4.598880573257229e-05}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.31078967461924595, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",3.0690739154815674
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 5.6491282850440625e-06, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 0.054694720327959793}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.6787963454974263, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",3.072500705718994
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 0.0012859917046108534, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 4.948309054366439e-05}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.20026545606183377, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",3.7698686122894287
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 0.002607277576314155, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 0.06087204775632705}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.21945091350574836, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",4.4986653327941895
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 0.0009808937363341079, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 0.0007409438599836666}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.3132487735088967, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",3.5924947261810303
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 4.88866510377194e-07, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 0.9296062217586117}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.3517899352279883, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",3.060619831085205
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 4.991493389848131e-06, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 0.0004964857250154546}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.6136404811996239, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",3.0616822242736816
"{'mode': 'train', 'raw_data_path': 'D:\\PycharmProjects\\MoA\\resource\\lish-moa', 'model_loading': False, 'multi_gpu': False, 'num_gpus': 4, 'cv_type': 'train_val_split', 'dataset_type': 'balanced', 'val_ratio': 0.1, 'loss_type': 'additive_angular_margin', 'data_aug': True, 'hps': DictWrapper({'lr': 0.0001, 'beta_1': 0.999, 'beta_2': 0.999, 'decay': 0.0, 'epochs': 3, 'batch_size': 16, 'reduce_lr_factor': 0.99, 'ls': 0.00023090559908863008, 'loss_weights': ListWrapper([1.0, 0.3, 10.0]), 'rep': 1, 'sn_t': 2.45, 'm1': 0.8081512, 'm2': 0.011438734, 'weight_decay': 0.00013258628243788983}), 'nn_arch': DictWrapper({'k_fold': 5, 'd_treatment_type': 1, 'num_treatment_type': 6, 'd_input_feature': 8, 'd_gene_exp': 772, 'd_cell_type': 100, 'dense_1_1_d': 1024, 'dense_1_2_d': 512, 'dense_1_3_d': 256, 'dense_1_4_d': 64, 'dense_2_1_d': 128, 'dense_2_2_d': 64, 'dense_2_3_d': 16, 'num_sc_ae': 0, 'dense_3_1_d': 88, 'dense_3_2_d': 256, 'dense_3_3_d': 128, 'dense_3_4_d': 64, 'd_hidden': 88, 'dense_4_1_d': 512, 'dense_4_2_d': 256, 'dense_4_3_d': 128, 'num_moa_annotation': 206, 'd_embed': 1, 'num_head': 1, 'num_transformer': 0, 'd_out': 772, 'dropout_rate': 0.559928209885825, 'similarity_type': 'diff_abs', 'additive_margin': 0.02, 'scale': 1.0})}",3.195236921310425
